GeographySummary	GeographyVariant	GeographyNation	GeographyState	2017 NAICS code	Employment size of establishments code	Year	Number of establishments
040	0000	US	31	31-33	230	2017	134
040	0000	US	31	31-33	235	2017	104
040	0000	US	31	31-33	240	2017	78
040	0000	US	31	31-33	500	2017	13
040	0000	US	32	31-33	1	2017	1828
040	0000	US	32	31-33	100	2017	1804
040	0000	US	32	31-33	210	2017	854
040	0000	US	32	31-33	215	2017	268
040	0000	US	32	31-33	220	2017	231
040	0000	US	32	31-33	225	2017	251
040	0000	US	32	31-33	230	2017	107
040	0000	US	32	31-33	235	2017	78
040	0000	US	32	31-33	240	2017	15
040	0000	US	32	31-33	500	2017	24
040	0000	US	33	31-33	1	2017	1790
040	0000	US	33	31-33	100	2017	1772
040	0000	US	33	31-33	210	2017	753
040	0000	US	33	31-33	215	2017	232
040	0000	US	33	31-33	220	2017	235
040	0000	US	33	31-33	225	2017	261
040	0000	US	33	31-33	230	2017	149
040	0000	US	33	31-33	235	2017	92
040	0000	US	33	31-33	240	2017	50
040	0000	US	33	31-33	500	2017	18
040	0000	US	34	31-33	1	2017	7332
040	0000	US	34	31-33	100	2017	7252
040	0000	US	34	31-33	210	2017	3265
040	0000	US	34	31-33	215	2017	969
040	0000	US	34	31-33	220	2017	908
040	0000	US	34	31-33	225	2017	1101
040	0000	US	34	31-33	230	2017	529
040	0000	US	34	31-33	235	2017	352
040	0000	US	34	31-33	240	2017	128
040	0000	US	34	31-33	500	2017	80
040	0000	US	35	31-33	1	2017	1332
040	0000	US	35	31-33	100	2017	1310
040	0000	US	35	31-33	210	2017	709
040	0000	US	35	31-33	215	2017	209
040	0000	US	35	31-33	220	2017	174
040	0000	US	35	31-33	225	2017	135
040	0000	US	35	31-33	230	2017	39
040	0000	US	35	31-33	235	2017	29
040	0000	US	35	31-33	240	2017	15
040	0000	US	35	31-33	500	2017	22
040	0000	US	36	31-33	1	2017	15499
040	0000	US	36	31-33	100	2017	15358
040	0000	US	36	31-33	210	2017	8052
040	0000	US	36	31-33	215	2017	1878
040	0000	US	36	31-33	220	2017	1816
040	0000	US	36	31-33	225	2017	1893
040	0000	US	36	31-33	230	2017	859
040	0000	US	36	31-33	235	2017	569
040	0000	US	36	31-33	240	2017	291
040	0000	US	36	31-33	500	2017	141
040	0000	US	37	31-33	1	2017	8834
040	0000	US	37	31-33	100	2017	8745
040	0000	US	37	31-33	210	2017	3774
040	0000	US	37	31-33	215	2017	1027
040	0000	US	37	31-33	220	2017	1012
040	0000	US	37	31-33	225	2017	1231
040	0000	US	37	31-33	230	2017	725
040	0000	US	37	31-33	235	2017	625
040	0000	US	37	31-33	240	2017	351
040	0000	US	37	31-33	500	2017	89
040	0000	US	38	31-33	1	2017	701
040	0000	US	38	31-33	100	2017	694
040	0000	US	38	31-33	210	2017	306
040	0000	US	38	31-33	215	2017	84
040	0000	US	38	31-33	220	2017	113
040	0000	US	38	31-33	225	2017	90
040	0000	US	38	31-33	230	2017	43
040	0000	US	38	31-33	235	2017	43
040	0000	US	38	31-33	240	2017	15
040	0000	US	38	31-33	500	2017	7
040	0000	US	39	31-33	1	2017	13922
040	0000	US	39	31-33	100	2017	13784
040	0000	US	39	31-33	210	2017	5243
040	0000	US	39	31-33	215	2017	1678
040	0000	US	39	31-33	220	2017	1891
040	0000	US	39	31-33	225	2017	2247
040	0000	US	39	31-33	230	2017	1248
040	0000	US	39	31-33	235	2017	976
040	0000	US	39	31-33	240	2017	501
040	0000	US	39	31-33	500	2017	138
040	0000	US	40	31-33	1	2017	3376
040	0000	US	40	31-33	100	2017	3342
040	0000	US	40	31-33	210	2017	1486
040	0000	US	40	31-33	215	2017	442
